SERIES|DESCRIPTION
HRHHID|HOUSEHOLD IDENTIFIER
HRMONTH|MONTH OF INTERVIEW
HRYEAR4|YEAR OF INTERVIEW
HEHOUSUT|TYPE OF HOUSING UNIT
HEFAMINC|FAMILY INCOME
HWHHWGT|HOUSEHOLD WEIGHT
HRNUMHOU|TOTAL NUMBER OF PERSONS LIVING IN THE HOUSEHOLD (HOUSEHOLD MEMBERS)
HRHTYPE|HOUSEHOLD TYPE
HUBUS|DOES ANYONE IN THIS HOUSEHOLD HAVE A BUSINESS OR A FARM?
GEREG|CENSUS REGION
GEDIV|CENSUS DIVISION
GESTFIPS|STATE FIPS CODE
GTCBSA|METROPOLITAN CBSA CODE
GTCO|FIPS COUNTY CODE
GTCBSAST|PRINCIPAL CITY/BALANCE STATUS
GTMETSTA|METROPOLITAN STATUS
GTINDVPC|INDIVIDUAL PRINCIPAL CITY
GTCBSASZ|Metropolitan Area (CBSA) SIZE
GTCSA|Consolidated Statistical Area (CSA) FIPS CODE
PRTAGE|PERSONS AGE
PEMARITL|MARITAL STATUS
PESEX|SEX
PEAFEVER|DID YOU EVER SERVE ON ACTIVE DUTY IN THE U.S. ARMED FORCES?
PEAFNOW|ARE YOU NOW IN THE ARMED FORCES
PEEDUCA	|HIGHEST LEVEL OF SCHOOL
PTDTRACE|RACE
PRDTHSP|DETAILED HISPANIC ORIGIN GROUP
PUCHINHH|CHANGE IN HOUSEHOLD COMPOSITION
PEHSPNON|HISPANIC OR NON-HISPANIC
PRMARSTA|MARITAL STATUS BASED ON ARMED FORCES PARTICIPATION
PENATVTY|COUNTRY OF BIRTH
PEMNTVTY|MOTHER'S COUNTRY OF BIRTH
PEFNTVTY|FATHER'S COUNTRY OF BIRTH
PRCITSHP|CITIZENSHIP STATUS
PRINUSYR|IMMIGRANT YEAR OF ENTRY
PEMLR|MONTHLY LABOR FORCE RECODE
PUWK|LAST WEEK, DID YOU DO ANY WORK FOR (EITHER) PAY (OR PROFIT)?
PUBUS1|LAST WEEK, DID YOU DO ANY UNPAID WORK IN THE FAMILY BUSINESS OR FARM?
PUBUS2OT|DO YOU RECEIVE ANY PAYMENTS OR PROFITS FROM THE BUSINESS?
PURETOT|RETIREMENT STATUS
PUDIS|DISABILITY STATUS
PERET1|DO YOU CURRENTLY WANT A JOB, EITHER FULL OR PART-TIME?
PUDIS1|DOES YOUR DISABILITY PREVENT YOU FROM ACCEPTING ANY KIND OF WORK DURING THE NEXT SIX MONTHS?
PUDIS2|DO YOU HAVE A DISABILITY THAT PREVENTS YOU FROM ACCEPTING ANY KIND OF WORK DURING THE NEXT SIX MONTHS?
PUABSOT|LAST WEEK DID YOU HAVE A JOB EITHER FULL OR PART-TIME?
PULAY|LAST WEEK, WERE YOU ON LAYOFF FROM A JOB?
PEABSRSN|WHAT IS THE MAIN REASON YOU WERE ABSENT FROM WORK LAST WEEK?
PEABSPDO|ARE YOU BEING PAID BY YOUR EMPLOYER FOR ANY OF THE TIME OFF LAST WEEK?
PEMJOT|DO YOU HAVE MORE THAN ONE JOB?
PEMJNUM|ALTOGETHER, HOW MANY JOBS DID YOU HAVE?
PEHRUSL1|HOW MANY HOURS PER WEEK DO YOU USUALLY WORK AT YOUR MAIN JOB?
PEHRUSL2|HOW MANY HOURS PER WEEK DO YOU USUALLY WORK AT YOUR OTHER (JOB/JOBS)?
PEHRFTPT|DO YOU USUALLY WORK 35 HOURS OR MORE PER WEEK?
PEHRWANT|DO YOU WANT TO WORK A FULL-TIME WORK WEEK OF 35 HOURS OR MORE PER WEEK?
PEHRRSN1|WHAT IS YOUR MAIN REASON FOR WORKING PART-TIME?
PEHRRSN2|WHAT IS THE MAIN REASON YOU DO NOT
PEHRRSN3|WHAT IS THE MAIN REASON YOU WORKED
PUHROFF1|LAST WEEK, DID YOU LOSE OR TAKE  OFF ANY HOURS FROM YOUR JOB, FOR ANY REASON SUCH AS ILLNESS, SLACK WORK, VACATION, OR HOLIDAY?
PUHROFF2|HOW MANY HOURS DID YOU TAKE OFF?
PUHROT1|LAST WEEK, DID YOU WORK ANY OVERTIME OR EXTRA HOURS (AT YOUR MAIN JOB) THAT YOU DO NOT USUALLY WORK?
PUHROT2|HOW MANY ADDITIONAL HOURS DID YOU WORK?
PEHRACT1|LAST WEEK, HOW MANY HOURS DID YOU ACTUALLY WORK AT YOUR JOB?
PEHRACT2|LAST WEEK, HOW MANY HOURS DID YOU ACTUALLY WORK AT YOUR OTHER (JOB/JOBS)?
